EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000037,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PASSIVATION ETCH PAD OPENING
ns_000038,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,DEPOSIT POLYSILICON,RCA CLEAN 1
ns_000039,ANISOTROPIC ETCH SPACER,PATTERN INSPECTION LEVEL 2,INSPECT PATTERN LEVEL 1,SURFACE PREP FOR DEPOSITION,BACKSIDE RINSE
ns_000040,MEASURE VIA CD,DEPOSIT BARRIER METAL,ELECTRICAL PARAMETRIC TEST,STRIP PHOTORESIST,PARAMETRIC TEST
ns_000041,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE JUNCTION PROFILE,SPIN COAT PHOTORESIST
ns_000042,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE FILM THICKNESS
ns_000043,MEASURE BACKSIDE CONTACT,DEPOSIT BACKSIDE METAL,YIELD ANALYSIS,BACKSIDE RINSE,BACKSIDE DRY
ns_000044,CURE PASSIVATION,MEASURE BACKSIDE CONTACT,GATE OXIDE GROWTH,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2
ns_000045,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4,GRINDING WAFER BACKSIDE
ns_000046,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,PRE CLEAN INSPECTION,MEASURE METAL THICKNESS
ns_000047,WET CLEAN RCA1,RCA CLEAN 1,FRONTSIDE CLEAN,BACKSIDE CLEAN,POST EXPOSE BAKE
ns_000048,THERMAL OXIDATION,MEASURE JUNCTION DEPTH,STRIP PHOTORESIST,STRIP RESIST,MEASURE DIELECTRIC THICKNESS
ns_000049,MEASURE GATE CD,IMPLANT SOURCE DRAIN,MEASURE SHEET RESISTANCE,PACKAGE PREPARATION,SHIP LOT
ns_000050,BACKSIDE ANNEAL,MEASURE BACKSIDE CONTACT,DEPOSIT BACKSIDE PROTECTION,LEAKAGE TEST,BACKSIDE ETCH CLEAN
ns_000051,IMPLANT LDD,MEASURE SPACER WIDTH,IMPLANT N-TYPE,HF DIP,IMPLANT SOURCE DRAIN
ns_000052,FILL VIA METAL,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 3
ns_000053,MEASURE RESISTIVITY,DEPOSIT PAD OXIDE,EPITAXY ANNEAL,ALIGN MASK LEVEL 1,ANISOTROPIC ETCH SPACER
ns_000054,EXPOSE LITHO LEVEL 4,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 2,FILL VIA TUNGSTEN,EXPOSE LITHO LEVEL 3
ns_000055,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000056,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT LDD,WAFER CLEAN PRE-GRIND,MEASURE LINE WIDTH
ns_000057,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL ELECTRICAL TEST PREP,FINAL CD INSPECTION
ns_000058,GATE OXIDE GROWTH,POLYSILICON ANNEAL,MEASURE GATE OXIDE THICKNESS,GATE OXIDE PREP,DEPOSIT BACKSIDE METAL
ns_000059,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,IMPLANT WELL,MEASURE OXIDE THICKNESS
ns_000060,BACKSIDE ETCH CLEAN,BACKSIDE RINSE,MEASURE BACKSIDE CONTACT,BACKSIDE DRY,BACKSIDE CLEAN
ns_000061,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,PRE CLEAN INSPECTION,MEASURE METAL THICKNESS
ns_000062,FINAL THICKNESS MEASURE,FINAL GEOMETRY CHECK,FINAL CD INSPECTION,FINAL PARTICLE INSPECTION,ELECTRICAL PARAMETRIC TEST
ns_000063,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,MEASURE OXIDE THICKNESS,FINAL PARTICLE INSPECTION
ns_000064,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,MEASURE SHEET RESISTANCE,PRE ANNEAL CHECK
ns_000065,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,IMPLANT LDD,PASSIVATION ETCH PAD OPENING,OPEN PAD WINDOW LITHO
ns_000066,DEPOSIT METAL SEED,FILL VIA METAL,DEPOSIT TUNGSTEN SEED,ALIGN MASK LEVEL 4,BACKSIDE GRIND
ns_000067,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000068,THRESHOLD VOLTAGE TEST,SWITCHING TEST,PARAMETRIC TEST,FINAL CLEAN,MEASURE WAFER THICKNESS
ns_000069,MEASURE SPACER WIDTH,IMPLANT LDD,MEASURE SURFACE DEFECTS,BACKSIDE CLEAN,MEASURE OXIDE THICKNESS
ns_000070,CLEAN AFTER METAL ETCH,METAL PATTERN INSPECTION,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,ALIGN MASK LEVEL 4
ns_000071,MEASURE VIA RESISTANCE,MEASURE CONTACT RESISTANCE,DEPOSIT TOP METAL,DEPOSIT METAL 1,DEVELOP PAD WINDOW
ns_000072,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,FRONTSIDE CLEAN,WET CLEAN RCA1,BACKSIDE THINNING CHECK
ns_000073,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
ns_000074,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,LEAKAGE TEST,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 4
ns_000075,SOFT BAKE,EXPOSE LITHO LEVEL 4,SPIN COAT PHOTORESIST,LOT RELEASE,FINAL LOT RELEASE
ns_000076,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 2,LEAKAGE TEST,ALIGN MASK LEVEL 4
ns_000077,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,PRE CLEAN INSPECTION,MEASURE METAL THICKNESS
ns_000078,MEASURE SPACER WIDTH,IMPLANT LDD,MEASURE SURFACE DEFECTS,BACKSIDE CLEAN,MEASURE OXIDE THICKNESS
ns_000079,FINAL LOT RELEASE,LOT RELEASE,SOFT BAKE,LOT IDENTIFICATION,IMPLANT WELL
ns_000080,CLEAN AFTER METAL ETCH,METAL PATTERN INSPECTION,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,CLEAN PAD OPENING
ns_000081,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 2
ns_000082,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000083,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000084,ANISOTROPIC ETCH SPACER,PATTERN INSPECTION LEVEL 2,INSPECT PATTERN LEVEL 1,SURFACE PREP FOR DEPOSITION,BACKSIDE RINSE
ns_000085,FINAL LOT RELEASE,LOT RELEASE,SOFT BAKE,IMPLANT WELL,LOT IDENTIFICATION
ns_000086,VIA INSPECTION,VIA OPENING INSPECTION,HARD BAKE,FINAL CLEAN,CMP INTERLAYER DIELECTRIC
ns_000087,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 1,CLEAN AFTER POLY ETCH
ns_000088,PRE ANNEAL CHECK,DRIVE IN DIFFUSION,RAPID THERMAL ANNEAL,LIGHT ANNEAL,WAFER CLEAN PRE PROCESS
ns_000089,IMPLANT LDD,MEASURE SPACER WIDTH,IMPLANT N-TYPE,HF DIP,IMPLANT SOURCE DRAIN
ns_000090,YIELD ANALYSIS,MEASURE BACKSIDE CONTACT,LEAKAGE TEST,WAFER SORT TEST,DEPOSIT BACKSIDE PROTECTION
ns_000091,SOFT BAKE,LOT RELEASE,FINAL LOT RELEASE,EXPOSE LITHO LEVEL 4,SPIN COAT PHOTORESIST
ns_000092,THERMAL OXIDATION,MEASURE JUNCTION DEPTH,STRIP PHOTORESIST,STRIP RESIST,MEASURE DIELECTRIC THICKNESS
ns_000093,MEASURE OPENING CD,IMPLANT WELL,MEASURE INITIAL GEOMETRY,POST EXPOSE BAKE,WET CLEAN RCA2
ns_000094,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 2
ns_000095,DEPOSIT TOP METAL,DEPOSIT METAL 1,MEASURE VIA RESISTANCE,MEASURE CONTACT RESISTANCE,DEVELOP PHOTORESIST
ns_000096,ANNEAL METAL,ANNEAL METAL 1,MEASURE THICKNESS,CMP VIA FILL,DEPOSIT METAL 1
ns_000097,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,CLEAN AFTER METAL ETCH,DEPOSIT METAL SEED,CLEAN AFTER ETCH
ns_000098,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH
ns_000099,POLYSILICON ETCH,HARD BAKE,OXIDE ETCH,VIA ETCH,POLYSILICON ETCH DRY
ns_000100,DEPOSIT BACKSIDE METAL,BACKSIDE METALLIZATION PREP,MEASURE BACKSIDE CONTACT,BACKSIDE ETCH CLEAN,BACKSIDE DRY
ns_000101,DENSIFY DIELECTRIC,DENSIFY OXIDE,PRE CLEAN WAFER,SUBSTRATE CHECK,WAFER CLEAN PRE-GRIND
ns_000102,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,RCA CLEAN 1,WET CLEAN RCA1
ns_000103,EXPOSE LITHO LEVEL 4,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 2,FILL VIA TUNGSTEN,EXPOSE LITHO LEVEL 3
ns_000104,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE FILM THICKNESS
ns_000105,SOFT BAKE,EXPOSE LITHO LEVEL 4,LOT RELEASE,SPIN COAT PHOTORESIST,FINAL LOT RELEASE
ns_000106,DEPOSIT TOP METAL,DEPOSIT METAL 1,MEASURE VIA RESISTANCE,MEASURE CONTACT RESISTANCE,DEVELOP PHOTORESIST
ns_000107,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,EXPOSE LITHO LEVEL 1
ns_000108,BACKSIDE RINSE,BACKSIDE DRY,BACKSIDE ETCH CLEAN,MEASURE BACKSIDE CONTACT,BACKSIDE GRIND
ns_000109,DEPOSIT BACKSIDE METAL,BACKSIDE METALLIZATION PREP,MEASURE BACKSIDE CONTACT,BACKSIDE ETCH CLEAN,BACKSIDE DRY
ns_000110,CLEAN AFTER METAL ETCH,METAL PATTERN INSPECTION,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,CLEAN PAD OPENING
ns_000111,METAL ETCH,HARD BAKE,POLYSILICON ETCH,POLYSILICON ETCH DRY,METAL ETCH DRY
ns_000112,CLEAN AFTER POLY ETCH,YIELD ANALYSIS,CLEAN AFTER METAL ETCH,EXPOSE LITHO LEVEL 2,CLEAN AFTER ETCH
ns_000113,BACKSIDE DRY,BACKSIDE RINSE,MEASURE BACKSIDE CONTACT,BACKSIDE ETCH CLEAN,WAFER SORT TEST
ns_000114,MEASURE OXIDE THICKNESS,MEASURE FILM THICKNESS,POST EXPOSE BAKE,MEASURE SURFACE PLANARITY,MEASURE SPACER WIDTH
ns_000115,MEASURE GATE OXIDE THICKNESS,GATE OXIDE GROWTH,BACKSIDE ANNEAL,OXIDE ETCH DRY,ETCH WET BACKSIDE
ns_000116,DRY WAFER,SUBSTRATE CHECK,WAFER CLEAN PRE-GRIND,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW
ns_000117,WAFER SORT TEST,DEPOSIT BACKSIDE PROTECTION,CLEAN PAD OPENING,YIELD ANALYSIS,LEAKAGE TEST
ns_000118,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,RCA CLEAN 1,MEASURE SURFACE DEFECTS
ns_000119,METAL ETCH,HARD BAKE,POLYSILICON ETCH,POLYSILICON ETCH DRY,METAL ETCH DRY
ns_000120,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,MEASURE SHEET RESISTANCE,PRE ANNEAL CHECK
ns_000121,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE SPACER WIDTH,LOT IDENTIFICATION,INITIAL WAFER INSPECTION
ns_000122,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,MEASURE OXIDE THICKNESS,FINAL PARTICLE INSPECTION
ns_000123,MEASURE VIA CD,DEPOSIT BARRIER METAL,ELECTRICAL PARAMETRIC TEST,STRIP PHOTORESIST,PARAMETRIC TEST
ns_000124,SOFT BAKE,LOT RELEASE,FINAL LOT RELEASE,EXPOSE LITHO LEVEL 4,SPIN COAT PHOTORESIST
ns_000125,METAL ETCH,HARD BAKE,METAL ETCH DRY,OXIDE ETCH,POLYSILICON ETCH
ns_000126,YIELD ANALYSIS,MEASURE BACKSIDE CONTACT,LEAKAGE TEST,WAFER SORT TEST,DEPOSIT BACKSIDE PROTECTION
ns_000127,EPITAXY PREP,SUBSTRATE CHECK,CLEAN PAD OPENING,ALIGN MASK LEVEL 3,ANNEAL OXIDE
ns_000128,MEASURE EPITAXY THICKNESS,EPITAXIAL DEPOSITION,BACKSIDE GRIND,WAFER SURFACE CLEAN,EPITAXY ANNEAL
ns_000129,MEASURE GATE CD,IMPLANT SOURCE DRAIN,MEASURE SHEET RESISTANCE,PACKAGE PREPARATION,SHIP LOT
ns_000130,MEASURE GATE CD,IMPLANT SOURCE DRAIN,MEASURE SHEET RESISTANCE,SHIP LOT,PACKAGE PREPARATION
ns_000131,MEASURE OPENING CD,IMPLANT WELL,MEASURE INITIAL GEOMETRY,POST EXPOSE BAKE,WET CLEAN RCA2
ns_000132,ALIGN MASK LEVEL 1,MEASURE RESISTIVITY,PATTERN INSPECTION LEVEL 1,ALIGN MASK LEVEL 4,DEPOSIT PAD OXIDE
ns_000133,BACKSIDE DRY,BACKSIDE RINSE,MEASURE BACKSIDE CONTACT,BACKSIDE ETCH CLEAN,WAFER SORT TEST
ns_000134,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,MEASURE OXIDE THICKNESS,THERMAL OXIDATION,DEVELOP PHOTORESIST
ns_000135,SOFT BAKE,EXPOSE LITHO LEVEL 4,LOT RELEASE,FINAL LOT RELEASE,PATTERN INSPECTION LEVEL 2
ns_000136,DEPOSIT POLYSILICON,MEASURE CD LEVEL 1,MEASURE POLY THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE RESISTIVITY
ns_000137,HF DIP,ANISOTROPIC ETCH SPACER,OXIDE STRIP,ETCH WET BACKSIDE,MEASURE EPITAXY THICKNESS
ns_000138,PRE ANNEAL CHECK,LIGHT ANNEAL,RAPID THERMAL ANNEAL,DRIVE IN DIFFUSION,MEASURE CD LEVEL 2
ns_000139,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,RCA CLEAN 1,DEPOSIT POLYSILICON
ns_000140,EPITAXIAL DEPOSITION,MEASURE EPITAXY THICKNESS,EPITAXY ANNEAL,DEPOSIT METAL SEED,EPITAXY PREP
ns_000141,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 2
ns_000142,IMPLANT LDD,MEASURE SPACER WIDTH,IMPLANT N-TYPE,HF DIP,IMPLANT SOURCE DRAIN
ns_000143,POLY PATTERN INSPECTION,POLYSILICON ANNEAL,CURE PASSIVATION,CLEAN PAD OPENING,ETCH WET BACKSIDE
ns_000144,EPITAXIAL DEPOSITION,MEASURE EPITAXY THICKNESS,EPITAXY ANNEAL,DEPOSIT METAL SEED,ALIGN MASK LEVEL 4
ns_000145,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT LDD,WAFER CLEAN PRE-GRIND,MEASURE LINE WIDTH
ns_000146,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE SPACER WIDTH,LOT IDENTIFICATION,INITIAL WAFER INSPECTION
ns_000147,MEASURE PAD OPENING,BACKSIDE ANNEAL,DEPOSIT BACKSIDE METAL,CLEAN PAD OPENING,POLYSILICON ANNEAL
ns_000148,ANNEAL METAL,ANNEAL METAL 1,MEASURE THICKNESS,DEVELOP PHOTORESIST,CMP VIA FILL
ns_000149,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE OXIDE THICKNESS,MEASURE FILM THICKNESS
ns_000150,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,FRONTSIDE CLEAN,WET CLEAN RCA1,RCA CLEAN 1
ns_000151,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH
ns_000152,MEASURE PAD OPENING,BACKSIDE ANNEAL,CLEAN PAD OPENING,DEPOSIT BACKSIDE METAL,POLYSILICON ANNEAL
ns_000153,MEASURE OXIDE THICKNESS,MEASURE FILM THICKNESS,POST EXPOSE BAKE,MEASURE SURFACE PLANARITY,MEASURE SPACER WIDTH
ns_000154,ANISOTROPIC ETCH SPACER,PATTERN INSPECTION LEVEL 2,INSPECT PATTERN LEVEL 1,BACKSIDE RINSE,SURFACE PREP FOR DEPOSITION
ns_000155,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,PASSIVATION ETCH PAD OPENING
ns_000156,FINAL CD INSPECTION,FINAL PARTICLE INSPECTION,ELECTRICAL PARAMETRIC TEST,PARAMETRIC TEST,FINAL ELECTRICAL TEST PREP
ns_000157,DRY WAFER,SUBSTRATE CHECK,WAFER CLEAN PRE-GRIND,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW
ns_000158,MEASURE OPENING CD,IMPLANT WELL,MEASURE INITIAL GEOMETRY,POST EXPOSE BAKE,WET CLEAN RCA2
ns_000159,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000160,METAL ETCH,HARD BAKE,OXIDE ETCH,METAL ETCH DRY,POLYSILICON ETCH
ns_000161,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
ns_000162,MEASURE VIA CD,DEPOSIT BARRIER METAL,ELECTRICAL PARAMETRIC TEST,STRIP PHOTORESIST,PARAMETRIC TEST
ns_000163,BACKSIDE ANNEAL,MEASURE BACKSIDE CONTACT,DEPOSIT BACKSIDE PROTECTION,DEPOSIT BACKSIDE METAL,BACKSIDE ETCH CLEAN
ns_000164,FILL VIA METAL,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 3
ns_000165,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE METAL THICKNESS
ns_000166,CLEAN AFTER METAL ETCH,METAL PATTERN INSPECTION,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,CLEAN PAD OPENING
ns_000167,SWITCHING TEST,THRESHOLD VOLTAGE TEST,LOT IDENTIFICATION,BACKSIDE GRIND,LEAKAGE TEST
ns_000168,ANISOTROPIC ETCH SPACER,PATTERN INSPECTION LEVEL 2,INSPECT PATTERN LEVEL 1,BACKSIDE RINSE,SURFACE PREP FOR DEPOSITION
ns_000169,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,EXPOSE LITHO LEVEL 2,YIELD ANALYSIS,MEASURE PAD OPENING
ns_000170,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,MEASURE SHEET RESISTANCE,STRIP RESIST
ns_000171,EPITAXIAL DEPOSITION,MEASURE EPITAXY THICKNESS,EPITAXY ANNEAL,DEPOSIT METAL SEED,EPITAXY PREP
ns_000172,GATE OXIDE PREP,LEAKAGE TEST,DEPOSIT TUNGSTEN SEED,WAFER SORT TEST,ANNEAL POLYSILICON
ns_000173,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH
ns_000174,ANNEAL METAL,ANNEAL METAL 1,MEASURE THICKNESS,DEVELOP PHOTORESIST,CMP VIA FILL
ns_000175,BACKSIDE ETCH CLEAN,BACKSIDE RINSE,MEASURE BACKSIDE CONTACT,BACKSIDE DRY,DEPOSIT BACKSIDE METAL
