EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
an_000079,0,0.0872,
an_000080,0,0.4189,
an_000081,1,0.5114,
an_000082,1,0.5665,
an_000083,0,0.1490,
an_000084,1,0.5512,
an_000085,1,0.5383,
an_000086,0,0.4287,
an_000087,0,0.1221,
an_000088,1,0.5539,
an_000089,0,0.4234,
an_000090,0,0.3442,
an_000091,0,0.4789,
an_000092,1,0.5398,
an_000093,0,0.4877,
an_000094,1,0.5257,
an_000095,0,0.0977,
an_000096,0,0.3809,
an_000097,1,0.5578,
an_000098,0,0.1933,
an_000099,1,0.5228,
an_000100,0,0.4638,
an_000101,1,0.5320,
an_000102,0,0.3645,
an_000103,0,0.4198,
an_000104,1,0.5322,
an_000105,1,0.5180,
an_000106,0,0.2449,
an_000107,0,0.4861,
an_000108,1,0.5135,
an_000109,1,0.5392,
an_000110,0,0.1535,
an_000111,1,0.5433,
an_000112,0,0.1719,
an_000113,1,0.5082,
an_000114,0,0.4343,
an_000115,0,0.2972,
an_000116,0,0.4954,
an_000117,1,0.5237,
an_000118,1,0.5833,
an_000119,0,0.3349,
an_000120,0,0.4159,
an_000121,1,0.5616,
an_000122,0,0.1909,
an_000123,0,0.3552,
an_000124,0,0.2481,
an_000125,0,0.3171,
an_000126,1,0.5463,
an_000127,1,0.5122,
an_000128,1,0.5423,
an_000129,1,0.5325,
an_000130,0,0.4848,
an_000131,0,0.4243,
an_000132,1,0.5456,
an_000133,0,0.1680,
an_000134,0,0.4588,
an_000135,1,0.5164,
an_000136,0,0.4972,
an_000137,0,0.4788,
an_000138,1,0.5395,
an_000139,0,0.2059,
an_000140,1,0.5152,
an_000141,0,0.4888,
an_000142,0,0.2726,
an_000143,1,0.5410,
an_000144,0,0.2745,
an_000145,0,0.4821,
an_000146,1,0.5692,
an_000147,0,0.2524,
an_000148,1,0.5529,
an_000149,1,0.5216,
an_000150,1,0.5020,
an_000151,0,0.4895,
an_000152,0,0.4912,
an_000153,1,0.5473,
an_000154,1,0.5652,
an_000155,1,0.5491,
an_000156,0,0.1409,
an_000157,0,0.1232,
an_000158,0,0.2791,
an_000159,1,0.5531,
an_000160,1,0.5761,
an_000161,1,0.5147,
an_000162,0,0.3342,
an_000163,0,0.3257,
an_000164,0,0.4778,
an_000165,1,0.5011,
an_000166,0,0.1409,
an_000167,0,0.4332,
an_000168,1,0.5381,
an_000169,1,0.5712,
an_000170,0,0.4823,
an_000171,0,0.2186,
an_000172,1,0.5027,
an_000173,1,0.5471,
an_000174,1,0.5574,
an_000175,0,0.1844,
an_000176,0,0.4763,
an_000177,0,0.1217,
an_000178,1,0.5529,
an_000179,1,0.5388,
an_000180,1,0.5417,
an_000181,0,0.4684,
an_000182,1,0.5216,
an_000183,1,0.5327,
an_000184,0,0.3865,
an_000185,1,0.5831,
an_000186,1,0.5267,
an_000187,1,0.5188,
an_000188,0,0.4612,
an_000189,0,0.2435,
an_000190,0,0.3500,
an_000191,0,0.1254,
an_000192,0,0.4731,
an_000193,0,0.4752,
an_000194,1,0.5392,
an_000195,0,0.2256,
an_000196,1,0.5289,
an_000197,0,0.4674,
an_000198,1,0.5738,
an_000199,0,0.1927,
an_000200,1,0.5226,
an_000201,1,0.5288,
an_000202,1,0.5731,
an_000203,1,0.5053,
an_000204,0,0.4830,
an_000205,0,0.4980,
an_000206,1,0.5567,
an_000207,0,0.1737,
an_000208,0,0.3647,
an_000209,1,0.5210,
an_000210,0,0.3625,
an_000211,1,0.5330,
an_000212,0,0.1437,
an_000213,0,0.4675,
an_000214,0,0.2822,
an_000215,1,0.5009,
an_000216,0,0.4728,
an_000217,0,0.0817,
an_000218,1,0.5101,
an_000219,0,0.3927,
an_000220,0,0.1863,
an_000221,1,0.5848,
an_000222,0,0.1905,
an_000223,0,0.1585,
an_000224,0,0.4611,
an_000225,1,0.5500,
an_000226,0,0.4374,
an_000227,0,0.4827,
an_000228,1,0.5172,
an_000229,0,0.4770,
an_000230,1,0.5251,
an_000231,0,0.1204,
an_000232,1,0.5458,
an_000233,1,0.5127,
an_000234,0,0.4835,
an_000235,1,0.5335,
an_000236,0,0.4561,
an_000237,0,0.2480,
an_000238,1,0.5027,
an_000239,1,0.5616,
an_000240,0,0.4872,
an_000241,0,0.4943,
an_000242,1,0.5179,
an_000243,1,0.5487,
an_000244,0,0.1718,
an_000245,0,0.1681,
an_000246,0,0.4873,
an_000247,1,0.5237,
an_000248,1,0.5211,
an_000249,0,0.2781,
an_000250,0,0.1998,
an_000251,1,0.5366,
an_000252,1,0.5683,
an_000253,1,0.5523,
an_000254,1,0.5285,
an_000255,1,0.5188,
an_000256,0,0.4625,
an_000257,1,0.5322,
an_000258,1,0.5445,
an_000259,1,0.5399,
an_000260,1,0.5428,
an_000261,1,0.5653,
an_000262,0,0.1955,
an_000263,0,0.1812,
an_000264,1,0.5462,
an_000265,1,0.5768,
an_000266,0,0.2074,
an_000267,0,0.4552,
an_000268,1,0.5605,
an_000269,1,0.5514,
an_000270,0,0.4258,
an_000271,0,0.1255,
an_000272,0,0.2718,
an_000273,0,0.3997,
an_000274,0,0.1472,
an_000275,0,0.4966,
an_000276,1,0.5397,
an_000277,0,0.4732,
an_000278,1,0.5162,
an_000279,0,0.4358,
an_000280,0,0.3558,
an_000281,0,0.4309,
an_000282,0,0.1577,
an_000283,0,0.4485,
an_000284,0,0.2177,
an_000285,0,0.4412,
an_000286,1,0.5030,
an_000287,1,0.5515,
an_000288,1,0.5417,
an_000289,0,0.1901,
an_000290,0,0.1699,
an_000291,0,0.3201,
an_000292,1,0.5359,
an_000293,0,0.4034,
an_000294,0,0.2724,
an_000295,1,0.5670,
an_000296,0,0.3482,
an_000297,0,0.4752,
an_000298,1,0.5707,
an_000299,0,0.3794,
an_000300,1,0.5451,
an_000301,1,0.5435,
an_000302,1,0.5553,
an_000303,1,0.5730,
an_000304,0,0.1644,
an_000305,0,0.4939,
an_000306,1,0.5622,
an_000307,0,0.4718,
an_000308,0,0.1713,
an_000309,1,0.5075,
an_000310,1,0.5264,
an_000311,0,0.2683,
an_000312,1,0.5511,
an_000313,0,0.4427,
an_000314,0,0.3900,
an_000315,1,0.5541,
an_000316,0,0.1150,
an_000317,1,0.5358,
an_000318,1,0.5392,
an_000319,0,0.2030,
an_000320,0,0.1165,
an_000321,1,0.5285,
an_000322,1,0.5113,
an_000323,0,0.4085,
an_000324,0,0.3934,
an_000325,1,0.5022,
an_000326,0,0.3658,
an_000327,1,0.5261,
an_000328,1,0.5338,
an_000329,1,0.5623,
an_000330,1,0.5142,
an_000331,0,0.4982,
an_000332,0,0.4501,
an_000333,0,0.4751,
an_000334,1,0.5615,
an_000335,0,0.2456,
an_000336,1,0.5642,
an_000337,0,0.4608,
an_000338,0,0.4481,
an_000339,1,0.5420,
an_000340,1,0.5248,
an_000341,0,0.4683,
an_000342,1,0.5265,
an_000343,0,0.2142,
an_000344,1,0.5454,
an_000345,1,0.5561,
an_000346,1,0.5020,
an_000347,1,0.5205,
an_000348,1,0.5341,
an_000349,0,0.1701,
an_000350,0,0.1886,
an_000351,0,0.4677,
an_000352,1,0.5551,
an_000353,1,0.5344,
an_000354,0,0.2001,
an_000355,0,0.4761,
an_000356,0,0.2529,
an_000357,1,0.5362,
an_000358,0,0.3652,
an_000359,0,0.4769,
an_000360,0,0.4791,
an_000361,1,0.5302,
an_000362,0,0.4873,
an_000363,0,0.2441,
an_000364,0,0.0831,
an_000365,0,0.1860,
an_000366,0,0.4965,
an_000367,0,0.4275,
an_000368,0,0.3519,
an_000369,1,0.5225,
an_000370,1,0.5444,
an_000371,0,0.4838,
an_000372,1,0.5071,
an_000373,0,0.1844,
an_000374,0,0.4694,
an_000375,1,0.5035,
an_000376,0,0.1585,
an_000377,1,0.5293,
an_000378,1,0.5272,
an_000379,0,0.1901,
an_000380,1,0.5259,
an_000381,0,0.4876,
an_000382,1,0.5268,
an_000383,1,0.5373,
an_000384,0,0.4830,
an_000385,1,0.5464,
an_000386,0,0.2069,
an_000387,0,0.4871,
an_000388,0,0.4905,
an_000389,0,0.4861,
an_000390,0,0.1922,
an_000391,0,0.0775,
an_000392,1,0.5757,
an_000393,1,0.5702,
an_000394,1,0.5327,
an_000395,0,0.2005,
an_000396,1,0.5604,
an_000397,0,0.4624,
an_000398,1,0.5387,
an_000399,0,0.1098,
an_000400,1,0.5014,
an_000401,1,0.5656,
an_000402,0,0.4454,
an_000403,1,0.5127,
an_000404,0,0.4724,
an_000405,1,0.5345,
an_000406,0,0.4988,
an_000407,0,0.1233,
an_000408,0,0.1003,
an_000409,0,0.3867,
an_000410,1,0.5505,
an_000411,1,0.5062,
an_000412,0,0.0815,
an_000413,1,0.5409,
an_000414,0,0.2583,
an_000415,0,0.4984,
an_000416,1,0.5482,
an_000417,0,0.3553,
an_000418,1,0.5541,
an_000419,0,0.3259,
an_000420,0,0.4848,
an_000421,0,0.4410,
an_000422,1,0.5608,
an_000423,0,0.2993,
an_000424,1,0.5636,
an_000425,0,0.4895,
an_000426,1,0.5411,
an_000427,0,0.4758,
an_000428,1,0.5580,
an_000429,0,0.2320,
an_000430,1,0.5002,
an_000431,1,0.5433,
an_000432,1,0.5006,
an_000433,1,0.5115,
an_000434,1,0.5334,
an_000435,1,0.5231,
an_000436,0,0.3164,
an_000437,0,0.2052,
an_000438,1,0.5543,
an_000439,0,0.4759,
an_000440,0,0.2550,
an_000441,0,0.2432,
an_000442,0,0.2215,
an_000443,0,0.3104,
an_000444,1,0.5653,
an_000445,1,0.5565,
an_000446,0,0.1798,
an_000447,0,0.4948,
an_000448,1,0.5322,
an_000449,0,0.3575,
an_000450,0,0.3040,
an_000451,0,0.4340,
an_000452,0,0.4447,
an_000453,0,0.4948,
an_000454,0,0.4768,
an_000455,0,0.4939,
an_000456,1,0.5692,
an_000457,0,0.1687,
an_000458,0,0.3900,
an_000459,1,0.5464,
an_000460,1,0.5160,
an_000461,1,0.5222,
an_000462,0,0.4858,
an_000463,0,0.2155,
an_000464,0,0.4388,
an_000465,0,0.1256,
an_000466,1,0.5028,
an_000467,0,0.2983,
an_000468,1,0.5064,
an_000469,0,0.1119,
an_000470,1,0.5327,
an_000471,0,0.3702,
an_000472,1,0.5363,
an_000473,0,0.1539,
an_000474,0,0.3303,
an_000475,1,0.5651,
an_000476,0,0.1500,
an_000477,1,0.5419,
an_000478,1,0.5684,
an_000479,1,0.5129,
an_000480,0,0.4777,
an_000481,1,0.5694,
an_000482,1,0.5245,
an_000483,1,0.5347,
an_000484,0,0.3977,
an_000485,1,0.5047,
an_000486,0,0.4839,
an_000487,0,0.3961,
an_000488,0,0.4458,
an_000489,0,0.1482,
an_000490,0,0.4825,
an_000491,0,0.4404,
an_000492,1,0.5393,
an_000493,0,0.4328,
an_000494,0,0.4875,
an_000495,1,0.5123,
an_000496,1,0.5397,
an_000497,0,0.3880,
an_000498,1,0.5138,
an_000499,1,0.5462,
an_000500,0,0.4805,
an_000501,0,0.4893,
an_000502,0,0.4730,
an_000503,0,0.4828,
an_000504,1,0.5366,
an_000505,0,0.4416,
an_000506,0,0.3032,
an_000507,0,0.1906,
an_000508,1,0.5204,
an_000509,0,0.2265,
an_000510,0,0.3360,
an_000511,0,0.1809,
an_000512,1,0.5367,
an_000513,1,0.5581,
an_000514,0,0.4750,
an_000515,1,0.5540,
an_000516,0,0.1061,
an_000517,0,0.4676,
an_000518,0,0.4216,
an_000519,0,0.1362,
an_000520,0,0.0860,
an_000521,1,0.5333,
an_000522,1,0.5223,
an_000523,1,0.5417,
an_000524,0,0.1498,
an_000525,1,0.5056,
an_000526,0,0.1611,
an_000527,0,0.4696,
an_000528,0,0.4325,
an_000529,1,0.5341,
an_000530,0,0.4912,
an_000531,1,0.5265,
an_000532,1,0.5036,
an_000533,0,0.1103,
an_000534,1,0.5609,
an_000535,0,0.4724,
an_000536,1,0.5581,
an_000537,0,0.1074,
an_000538,0,0.4509,
an_000539,1,0.5378,
an_000540,1,0.5672,
an_000541,1,0.5188,
an_000542,0,0.4253,
an_000543,1,0.5069,
an_000544,0,0.4942,
an_000545,1,0.5710,
an_000546,0,0.2667,
an_000547,1,0.5087,
an_000548,1,0.5255,
an_000549,0,0.4686,
an_000550,1,0.5386,
an_000551,1,0.5038,
an_000552,1,0.5473,
an_000553,1,0.5010,
an_000554,0,0.1765,
an_000555,1,0.5382,
an_000556,0,0.1746,
an_000557,1,0.5041,
an_000558,1,0.5081,
an_000559,0,0.3934,
an_000560,1,0.5377,
an_000561,0,0.2108,
an_000562,0,0.2872,
an_000563,1,0.5111,
an_000564,0,0.2046,
an_000565,0,0.2053,
an_000566,0,0.2934,
an_000567,1,0.5728,
an_000568,0,0.0704,
an_000569,0,0.1447,
an_000570,0,0.2441,
an_000571,0,0.1743,
an_000572,1,0.5210,
an_000573,0,0.4517,
an_000574,1,0.5654,
an_000575,0,0.3685,
an_000576,0,0.4717,
an_000577,0,0.1341,
an_000578,0,0.2191,
an_000579,0,0.4809,
an_000580,1,0.5505,
an_000581,0,0.4365,
an_000582,1,0.5233,
an_000583,1,0.5387,
an_000584,1,0.5143,
an_000585,0,0.3587,
an_000586,0,0.4467,
an_000587,1,0.5614,
an_000588,1,0.5138,
an_000589,0,0.4978,
an_000590,0,0.2832,
an_000591,0,0.4759,
an_000592,0,0.4022,
an_000593,1,0.5444,
an_000594,1,0.5627,
an_000595,1,0.5250,
an_000596,1,0.5341,
an_000597,1,0.5360,
an_000598,0,0.4593,
an_000599,0,0.4644,
an_000600,1,0.5379,
an_000601,1,0.5636,
an_000602,0,0.4955,
an_000603,0,0.4939,
an_000604,0,0.4554,
an_000605,0,0.4913,
an_000606,0,0.4669,
an_000607,1,0.5294,
an_000608,1,0.5523,
an_000609,1,0.5232,
an_000610,0,0.2076,
an_000611,0,0.4370,
an_000612,1,0.5667,
an_000613,1,0.5239,
an_000614,0,0.2148,
an_000615,0,0.4887,
an_000616,1,0.5303,
an_000617,1,0.5372,
an_000618,0,0.3421,
an_000619,1,0.5500,
an_000620,0,0.1987,
an_000621,0,0.4589,
an_000622,1,0.5121,
an_000623,0,0.3470,
an_000624,1,0.5558,
an_000625,0,0.4391,
an_000626,0,0.1878,
an_000627,0,0.2654,
an_000628,0,0.4240,
an_000629,0,0.4421,
an_000630,1,0.5707,
an_000631,1,0.5321,
an_000632,1,0.5634,
an_000633,1,0.5503,
an_000634,1,0.5343,
an_000635,0,0.4271,
an_000636,0,0.4899,
an_000637,0,0.1789,
an_000638,1,0.5313,
an_000639,0,0.1987,
an_000640,0,0.2311,
an_000641,0,0.3357,
an_000642,0,0.1704,
an_000643,1,0.5420,
an_000644,0,0.4654,
an_000645,1,0.5791,
an_000646,1,0.5007,
an_000647,0,0.1813,
an_000648,1,0.5521,
an_000649,0,0.4890,
an_000650,1,0.5198,
an_000651,1,0.5187,
an_000652,0,0.3820,
an_000653,1,0.5028,
an_000654,1,0.5437,
an_000655,1,0.5376,
an_000656,1,0.5596,
an_000657,1,0.5578,
an_000658,0,0.1678,
an_000659,0,0.4485,
an_000660,0,0.1713,
an_000661,1,0.5468,
an_000662,1,0.5643,
an_000663,1,0.5495,
an_000664,1,0.5740,
an_000665,1,0.5394,
an_000666,0,0.3892,
an_000667,0,0.4893,
an_000668,0,0.4792,
an_000669,1,0.5300,
an_000670,0,0.1377,
an_000671,0,0.3687,
an_000672,0,0.2337,
an_000673,0,0.0815,
an_000674,0,0.3828,
an_000675,0,0.1455,
an_000676,0,0.4853,
an_000677,0,0.4895,
an_000678,1,0.5614,
an_000679,0,0.1346,
an_000680,0,0.4999,
an_000681,0,0.1415,
an_000682,1,0.5222,
an_000683,0,0.4690,
an_000684,0,0.4617,
an_000685,1,0.5538,
an_000686,0,0.4856,
an_000687,1,0.5221,
an_000688,1,0.5419,
an_000689,0,0.4539,
an_000690,1,0.5311,
an_000691,1,0.5388,
an_000692,0,0.4724,
an_000693,1,0.5001,
an_000694,0,0.1531,
an_000695,0,0.4859,
an_000696,0,0.4903,
an_000697,0,0.0805,
an_000698,1,0.5087,
an_000699,0,0.3322,
an_000700,1,0.5494,
an_000701,0,0.4902,
an_000702,1,0.5393,
an_000703,0,0.1948,
an_000704,0,0.4922,
an_000705,1,0.5322,
an_000706,0,0.4537,
an_000707,0,0.3652,
an_000708,1,0.5564,
an_000709,0,0.4139,
an_000710,1,0.5027,
an_000711,1,0.5302,
an_000712,1,0.5703,
an_000713,1,0.5365,
an_000714,0,0.4739,
an_000715,1,0.5254,
an_000716,1,0.5314,
an_000717,1,0.5421,
an_000718,0,0.1024,
an_000719,0,0.1173,
an_000720,0,0.2042,
an_000721,1,0.5460,
an_000722,0,0.2662,
an_000723,1,0.5186,
an_000724,0,0.4114,
an_000725,1,0.5570,
an_000726,1,0.5000,
an_000727,0,0.2279,
an_000728,1,0.5338,
an_000729,0,0.2573,
an_000730,0,0.4702,
an_000731,1,0.5532,
an_000732,0,0.1980,
an_000733,0,0.2867,
an_000734,1,0.5448,
an_000735,1,0.5140,
an_000736,0,0.4983,
an_000737,0,0.4187,
an_000738,0,0.1963,
an_000739,0,0.4539,
an_000740,1,0.5571,
an_000741,0,0.3435,
an_000742,1,0.5698,
an_000743,0,0.1949,
an_000744,0,0.3295,
an_000745,0,0.4808,
an_000746,0,0.4814,
an_000747,0,0.1444,
an_000748,1,0.5874,
an_000749,0,0.2290,
an_000750,0,0.1144,
an_000751,1,0.5293,
an_000752,1,0.5015,
an_000753,1,0.5392,
an_000754,0,0.4808,
an_000755,0,0.4006,
an_000756,0,0.4576,
an_000757,0,0.4442,
an_000758,1,0.5266,
an_000759,0,0.4732,
an_000760,0,0.2679,
an_000761,0,0.4280,
an_000762,0,0.4787,
an_000763,0,0.4545,
an_000764,0,0.4106,
an_000765,1,0.5156,
an_000766,0,0.3945,
an_000767,0,0.3001,
an_000768,1,0.5598,
an_000769,0,0.4310,
an_000770,0,0.2383,
an_000771,1,0.5398,
an_000772,1,0.5487,
an_000773,0,0.3568,
an_000774,1,0.5581,
an_000775,0,0.0842,
an_000776,1,0.5232,
an_000777,1,0.5050,
an_000778,0,0.3980,
an_000779,0,0.4889,
an_000780,1,0.5124,
an_000781,0,0.2045,
an_000782,0,0.4790,
an_000783,1,0.5587,
an_000784,0,0.2007,
an_000785,0,0.3259,
an_000786,0,0.2810,
an_000787,0,0.3489,
an_000788,1,0.5643,
an_000789,0,0.3651,
an_000790,1,0.5363,
an_000791,1,0.5417,
an_000792,1,0.5155,
an_000793,0,0.4546,
an_000794,1,0.5205,
an_000795,0,0.2137,
an_000796,0,0.1377,
an_000797,0,0.1662,
an_000798,1,0.5032,
an_000799,1,0.5409,
an_000800,1,0.5312,
an_000801,0,0.4570,
an_000802,1,0.5164,
an_000803,0,0.4381,
an_000804,0,0.1922,
an_000805,1,0.5724,
an_000806,1,0.5269,
an_000807,1,0.5779,
an_000808,1,0.5362,
an_000809,0,0.3408,
an_000810,1,0.5184,
an_000811,0,0.3575,
an_000812,0,0.2925,
an_000813,0,0.1586,
an_000814,0,0.4515,
an_000815,0,0.2256,
an_000816,0,0.2498,
an_000817,1,0.5528,
an_000818,0,0.1435,
an_000819,1,0.5013,
an_000820,0,0.4701,
an_000821,0,0.1798,
an_000822,0,0.2384,
an_000823,0,0.4767,
an_000824,0,0.2804,
an_000825,0,0.4595,
an_000826,0,0.3508,
an_000827,0,0.2094,
an_000828,0,0.4512,
an_000829,0,0.4716,
an_000830,1,0.5398,
an_000831,0,0.1746,
an_000832,0,0.4764,
an_000833,0,0.4803,
an_000834,0,0.4846,
an_000835,0,0.1783,
an_000836,1,0.5120,
an_000837,0,0.4876,
an_000838,0,0.2958,
an_000839,0,0.4700,
an_000840,0,0.1019,
an_000841,1,0.5363,
an_000842,1,0.5408,
an_000843,0,0.4204,
an_000844,0,0.4447,
an_000845,0,0.1948,
an_000846,1,0.5381,
an_000847,0,0.1320,
an_000848,0,0.1415,
an_000849,1,0.5251,
an_000850,1,0.5343,
an_000851,0,0.4264,
an_000852,0,0.4976,
an_000853,0,0.3922,
an_000854,0,0.1228,
an_000855,0,0.4764,
an_000856,1,0.5153,
an_000857,1,0.5075,
an_000858,0,0.3907,
an_000859,1,0.5591,
an_000860,0,0.1907,
an_000861,0,0.4836,
an_000862,0,0.0987,
an_000863,1,0.5316,
an_000864,0,0.4959,
an_000865,0,0.1817,
an_000866,1,0.5118,
an_000867,1,0.5567,
an_000868,0,0.4710,
an_000869,0,0.4509,
an_000870,0,0.1248,
an_000871,0,0.1407,
an_000872,0,0.4686,
an_000873,0,0.3114,
an_000874,1,0.5608,
an_000875,0,0.3638,
an_000876,0,0.1035,
an_000877,0,0.3169,
an_000878,1,0.5399,
an_000879,1,0.5364,
an_000880,0,0.3460,
an_000881,1,0.5719,
an_000882,1,0.5597,
an_000883,0,0.4327,
an_000884,1,0.5306,
an_000885,0,0.1656,
an_000886,0,0.4882,
an_000887,1,0.5750,
an_000888,0,0.4511,
an_000889,1,0.5818,
an_000890,1,0.5611,
an_000891,1,0.5443,
an_000892,1,0.5153,
an_000893,1,0.5664,
an_000894,1,0.5377,
an_000895,0,0.3215,
an_000896,1,0.5551,
an_000897,0,0.3643,
an_000898,0,0.3085,
an_000899,0,0.1168,
an_000900,0,0.1565,
an_000901,0,0.2809,
an_000902,1,0.5527,
an_000903,1,0.5283,
an_000904,0,0.4862,
an_000905,0,0.1570,
an_000906,0,0.4173,
an_000907,0,0.4841,
an_000908,1,0.5466,
an_000909,0,0.0878,
an_000910,0,0.2457,
an_000911,1,0.5132,
an_000912,0,0.3014,
an_000913,0,0.4878,
an_000914,0,0.4812,
an_000915,1,0.5734,
an_000916,1,0.5484,
an_000917,0,0.3077,
an_000918,1,0.5370,
an_000919,0,0.2136,
an_000920,1,0.5137,
an_000921,0,0.4864,
an_000922,1,0.5536,
an_000923,0,0.1751,
an_000924,0,0.1694,
an_000925,1,0.5505,
an_000926,1,0.5031,
an_000927,0,0.4425,
an_000928,1,0.5454,
an_000929,0,0.4798,
an_000930,0,0.4745,
an_000931,0,0.2597,
an_000932,0,0.1689,
an_000933,1,0.5320,
an_000934,1,0.5245,
an_000935,0,0.4283,
an_000936,0,0.4478,
an_000937,0,0.2273,
an_000938,1,0.5273,
an_000939,1,0.5336,
an_000940,0,0.3466,
an_000941,0,0.1987,
an_000942,0,0.4447,
an_000943,0,0.1419,
an_000944,1,0.5228,
an_000945,0,0.2982,
an_000946,1,0.5385,
an_000947,1,0.5287,
an_000948,1,0.5512,
an_000949,0,0.0756,
an_000950,0,0.4030,
an_000951,1,0.5592,
an_000952,0,0.4000,
an_000953,1,0.5233,
an_000954,1,0.5363,
an_000955,0,0.1659,
an_000956,0,0.4839,
an_000957,0,0.3349,
an_000958,1,0.5444,
an_000959,1,0.5127,
an_000960,1,0.5455,
an_000961,0,0.4572,
an_000962,1,0.5459,
an_000963,0,0.3404,
an_000964,0,0.1570,
an_000965,0,0.4596,
an_000966,0,0.4622,
an_000967,0,0.4619,
an_000968,1,0.5134,
an_000969,0,0.4807,
an_000970,0,0.4781,
an_000971,0,0.1290,
an_000972,1,0.5392,
an_000973,0,0.1798,
an_000974,1,0.5523,
an_000975,1,0.5658,
an_000976,1,0.5329,
an_000977,0,0.1662,
an_000978,0,0.4880,
an_000979,1,0.5506,
an_000980,1,0.5773,
an_000981,0,0.1292,
an_000982,0,0.4174,
an_000983,1,0.5224,
an_000984,0,0.3180,
an_000985,1,0.5220,
an_000986,1,0.5375,
an_000987,1,0.5233,
an_000988,1,0.5327,
an_000989,0,0.4644,
an_000990,1,0.5697,
an_000991,0,0.3987,
an_000992,0,0.1710,
an_000993,0,0.1222,
an_000994,0,0.2094,
an_000995,0,0.4795,
an_000996,1,0.5429,
an_000997,0,0.1361,
an_000998,0,0.3027,
an_000999,0,0.2784,
an_001000,1,0.5346,
